"","Var1","Freq"
"1","@shiva",5
"2","715371",189
"3","7of9",8608
"4","A Rastered Development",184
"5","aanantaa",1
"6","Aaron Hodges",1
"7","aaronspring",4
"8","Aashish Layalu",1
"9","Aashish Tripathee (Adyota)",623
"10","Aashwin Acharya",1
"11","Abash Paudel",41
"12","Abeightol",22
"13","abel801",1
"14","Abinash",1
"15","Abinash Neupane",17
"16","Acn567",2
"17","Active Asmita",23
"18","adev123",16
"19","adivik2000",1
"20","adrianlo",134
"21","advmap",5
"22","afonin",86
"23","ajay8808",4
"24","Ajit Kunwar",1
"25","ajithkarunaratne",27
"26","Akarki58",1
"27","AlaskaDave",4
"28","Aleks-Berlin",10
"29","AlenaNarcheva",1
"30","Alex Gorman Chamness",2
"31","Alex-7",11
"32","Alexander Deynichenko",77
"33","alexandrebc",1
"34","alexbans13",1
"35","Alfonso Carrión González",2
"36","Alibaba And You",1
"37","Alisha12",189264
"38","alishha",1327
"39","Almarusla",1
"40","almor123",217
"41","Amar Kumar Tamrakar",1
"42","amazing ad",2
"43","amitraj mulmi",3
"44","Amrit Devkota",15
"45","AmRit GhiMire",3
"46","Amrit Khawas",1
"47","Amrit paudel",1
"48","amritkarma",46
"49","An42",1
"50","AndrewBuck",10
"51","Andy Hawthorne",2
"52","Anil Dhewaju",1
"53","Anita Pariyar",5
"54","anju2016",2
"55","Anka San",1
"56","Ankit Keshav Baral",134
"57","Anna-Chrissy",1
"58","Anne72",3
"59","AnnMar",20
"60","ans_7",3
"61","Anup Adhikari",35
"62","Anup Subedi",27
"63","anupsth",12
"64","arasure",1266
"65","archaeo",270
"66","archi",355
"67","Archiev Thapa",1
"68","Arjun1_pokhara",1
"69","Armangi",2
"70","Artem Chuprina",35
"71","Ashim Bajracharya",1
"72","ashis104",5
"73","Ashish Bastola",2
"74","Ashish Thapa",21336
"75","ashkan55",4
"76","Ashley Rose",68
"77","ashmeera",3
"78","Ashok Chaurasiya",1
"79","ashok dhakal",1
"80","ashok kavreli",23
"81","Ashok Thapa",1
"82","Ashwin kumar karki",30
"83","asmitasummer",6
"84","Ast adhikari",48
"85","Aurimas Fišeras",1
"86","Awesome_Nzl",1
"87","aweverka",12
"88","Ayane",24
"89","Ayushmaan Gurung",1
"90","ayushupreti22",20494
"91","azimut400gon",2
"92","B-tech Pokhara",1
"93","B0k",21
"94","bahnpirat",182
"95","bakhto",104
"96","Baral Brothers",1
"97","Barbara Weibel",2
"98","barnabascaro",1
"99","Barnabechaix",1
"100","Bastian Balthazar Bux",2
"101","bavario",1
"102","Becca Wilson",37
"103","Beepson",224
"104","Beeshwas",5
"105","Benjamin Sharma (Ben)",5
"106","Bernhard Schoof",1
"107","bgirardot",9
"108","BH Gunpowder",137
"109","Bhakti Devkota",1
"110","Bharat Raj Bhat",1
"111","Bhawak",2
"112","bhuvaneshwar",5
"113","Bibek Bhujel",14
"114","Bibek Gurung",18
"115","Bibek99",90
"116","bigalxyz123",299
"117","Bijay _Dhakal",3
"118","Bijay adhikari",350
"119","Bijay Dhakal",84
"120","Bijay Tamang",1
"121","Bikal Rana Magar",1
"122","Bikal061",1
"123","Bikash Gurung Tkd",1
"124","Bikash Sherchan",2
"125","Bikash Tamrakar",1
"126","Bikram KC",2
"127","Bikram Regmi",2
"128","bikram26",4833
"129","Biku",2
"130","binay podel123",14
"131","Binay shrestha",1
"132","Binit Chhantyal",34
"133","Bipin Chapagain",1
"134","birenra",102
"135","Bishal G",42
"136","Bishal Sadashankar",1
"137","bishal_",12
"138","Bishal9841",99185
"139","BishnuBastola",8
"140","Bjdai",2
"141","BlackFishMethod",16
"142","Blueatlas",2
"143","Bobby Matthieu",1
"144","Bojulá Enrique Torao",1
"145","bookbugs",21
"146","Borristhesnail",1
"147","bostonsbh",2
"148","Bouix Pauline",1
"149","Brad_B",22
"150","bradleyswilson",24
"151","breffniw",125
"152","Bruckmann-Karto",6
"153","bshaw36",16
"154","Buddhaz Gurung",1
"155","Buddhi Neupane",1
"156","byronbay",27
"157","c-yam giri",18
"158","calfarome",20
"159","Camillex9",48
"160","canuck8888",1
"161","Carlos Alberto Martínez Gadea",3
"162","cazar",11
"163","chalie42",1
"164","Chandra Mohan",3
"165","chihchun",4
"166","Chingping Yu",13
"167","chiranjibi",2
"168","Chiranjiwi lal",3
"169","chocacao",19
"170","Chris Everywhere",1
"171","chrischan",66
"172","ChrissW-R1",27
"173","Chrysopras",1
"174","cibesh009",133
"175","City Mobile Clinic",2
"176","Classofmrlytle",32
"177","Claudio Cruz Vasquez",3
"178","Cole Roundabout Burfdawg",2
"179","coothdrup",16
"180","CornCO",57
"181","cornelisJVM",207
"182","CrapMapper",131
"183","CRCulver",5
"184","CSea",28
"185","Cyrille37",21
"186","CyrusDreams",13
"187","D thapa",4
"188","D'puh Giri",3
"189","danbjoseph",3
"190","dbusse",2
"191","Deborah Winkel",1
"192","DED101",74
"193","Deepak Chaudhary",1
"194","Deepsy",1
"195","Delta Bravo123",123
"196","Dev Kapil",2
"197","Dev Narayan Paudel",45
